Date;Open;High;Low;Close;Adj Close;Volume
28/12/2004;52970001;53540001;52970001;53250000;37274837;996600
29/12/2004;52650002;52660000;51770000;52070000;36448845;4026500
30/12/2004;52250000;52500000;51619999;51900002;36329834;2591900
31/12/2004;51770000;52090000;51689999;51770000;36238850;1675700
03/01/2005;51849998;52250000;50919998;50970001;35678841;3749900
04/01/2005;51150002;51150002;49880001;49980000;34985836;4657900
05/01/2005;50000000;51130001;49549999;50810001;35566837;5336700
06/01/2005;50680000;51119999;50340000;50480000;35335850;3076700
07/01/2005;50500000;50849998;50099998;50310001;35216846;1957100
10/01/2005;50130001;51330002;50099998;50980000;35685844;2877800
11/01/2005;51029999;51099998;50619999;50820000;35573845;2044100
12/01/2005;51000000;51959999;50950001;51939999;36357849;4126100
13/01/2005;51900002;52150002;50590000;50630001;35440838;4252500
14/01/2005;50599998;50990002;50099998;50910000;35636841;3084500
18/01/2005;50500000;51970001;50450001;51880001;36315838;3537400
19/01/2005;51599998;51860001;51310001;51410000;35986835;2723200
20/01/2005;51099998;51509998;50880001;50900002;35629837;2457500
21/01/2005;50650002;50980000;50009998;50070000;35048840;2593000
24/01/2005;50330002;50599998;49520000;49639999;34747841;3019300
25/01/2005;50150002;50209999;49520000;49840000;34887852;2954600
26/01/2005;49560001;50340000;49520000;49860001;34901848;3530800
27/01/2005;49540001;51000000;49540001;50970001;35678841;4708800
28/01/2005;50970001;50980000;49540001;49919998;34943844;3717100
31/01/2005;50250000;50630001;50070000;50599998;35419853;3894400
01/02/2005;50599998;51180000;50220001;51040001;35727833;2684700
02/02/2005;52200001;52889999;51419998;52230000;36560852;6095300
03/02/2005;52950001;52950001;51939999;52000000;36399841;4199200
04/02/2005;51950001;52900002;51900002;52580002;36805840;3324900
07/02/2005;52419998;52689999;52299999;52500000;36749859;3731200
08/02/2005;52650002;53619999;52389999;53500000;37449837;6070700
09/02/2005;53500000;54160000;53360001;54119999;38061699;4835300
10/02/2005;54119999;54430000;53630001;53860001;37878845;3634700
11/02/2005;53750000;54299999;53349998;54139999;38075764;2204300
14/02/2005;54009998;54330002;53720001;54040001;38005440;2882800
15/02/2005;54250000;54820000;54009998;54430000;38279713;3302200
